condition,subject,trial,sub_task,cat,x,y,xt,yt,resp,rt,fb
incongruent_pinky_thumb,8,0,2,112,57.72,78.79,0.06,1.24,113,4185,Incorrect
incongruent_pinky_thumb,8,1,2,112,15.34,30.83,0.02,0.48,113,1819,Incorrect
incongruent_pinky_thumb,8,2,1,99,17.5,33.85,0.02,0.53,109,1604,Incorrect
incongruent_pinky_thumb,8,3,2,113,47.34,17.43,0.05,0.27,112,1557,Incorrect
incongruent_pinky_thumb,8,4,1,99,20.28,34.76,0.02,0.55,99,1107,Correct
incongruent_pinky_thumb,8,5,2,112,13.94,37.89,0.02,0.6,113,1065,Incorrect
incongruent_pinky_thumb,8,6,1,99,32.67,57.75,0.04,0.91,109,1355,Incorrect
incongruent_pinky_thumb,8,7,2,113,69.82,58.1,0.08,0.91,113,1790,Correct
incongruent_pinky_thumb,8,8,2,112,19.03,47.12,0.02,0.74,112,957,Correct
incongruent_pinky_thumb,8,9,1,109,74.81,53.29,0.08,0.84,99,2768,Incorrect
incongruent_pinky_thumb,8,10,2,112,57.22,83.43,0.06,1.31,112,2348,Correct
incongruent_pinky_thumb,8,11,1,99,42.14,71.85,0.05,1.13,99,3198,Correct
incongruent_pinky_thumb,8,12,1,99,25.38,55.47,0.03,0.87,99,1707,Correct
incongruent_pinky_thumb,8,13,2,112,38.95,64.88,0.04,1.02,112,1806,Correct
incongruent_pinky_thumb,8,14,2,112,55.16,63.47,0.06,1.0,113,1805,Incorrect
incongruent_pinky_thumb,8,15,1,109,32.08,13.47,0.04,0.21,109,2185,Correct
incongruent_pinky_thumb,8,16,2,112,64.49,78.54,0.07,1.23,112,1112,Correct
incongruent_pinky_thumb,8,17,2,112,25.74,36.43,0.03,0.57,112,1533,Correct
incongruent_pinky_thumb,8,18,1,99,36.92,65.95,0.04,1.04,109,1313,Incorrect
incongruent_pinky_thumb,8,19,1,99,19.21,46.28,0.02,0.73,109,2922,Incorrect
incongruent_pinky_thumb,8,20,2,112,44.59,54.18,0.05,0.85,112,1760,Correct
incongruent_pinky_thumb,8,21,2,112,43.72,60.06,0.05,0.94,113,789,Incorrect
incongruent_pinky_thumb,8,22,1,109,87.61,60.18,0.1,0.95,109,1602,Correct
incongruent_pinky_thumb,8,23,1,99,21.42,45.69,0.02,0.72,109,1998,Incorrect
incongruent_pinky_thumb,8,24,2,113,73.76,46.04,0.08,0.72,112,1603,Incorrect
incongruent_pinky_thumb,8,25,2,112,32.95,61.97,0.04,0.97,113,891,Incorrect
incongruent_pinky_thumb,8,26,2,112,47.68,72.99,0.05,1.15,113,1505,Incorrect
incongruent_pinky_thumb,8,27,1,109,80.24,66.37,0.09,1.04,109,2082,Correct
incongruent_pinky_thumb,8,28,1,109,53.67,37.76,0.06,0.59,109,1844,Correct
incongruent_pinky_thumb,8,29,1,99,64.65,78.07,0.07,1.23,109,1362,Incorrect
incongruent_pinky_thumb,8,30,1,109,66.56,47.1,0.07,0.74,99,2604,Incorrect
incongruent_pinky_thumb,8,31,2,112,37.04,67.85,0.04,1.07,112,1785,Correct
incongruent_pinky_thumb,8,32,2,112,57.1,77.87,0.06,1.22,112,1740,Correct
incongruent_pinky_thumb,8,33,1,109,87.47,62.58,0.1,0.98,109,1604,Correct
incongruent_pinky_thumb,8,34,2,113,75.83,62.48,0.08,0.98,113,1855,Correct
incongruent_pinky_thumb,8,35,2,112,33.58,52.28,0.04,0.82,112,952,Correct
incongruent_pinky_thumb,8,36,2,112,23.12,43.4,0.03,0.68,112,934,Correct
incongruent_pinky_thumb,8,37,2,112,66.3,87.54,0.07,1.38,112,1676,Correct
incongruent_pinky_thumb,8,38,2,112,27.78,51.5,0.03,0.81,113,1273,Incorrect
incongruent_pinky_thumb,8,39,2,113,84.31,59.28,0.09,0.93,112,766,Incorrect
incongruent_pinky_thumb,8,40,1,99,50.97,66.96,0.06,1.05,99,2053,Correct
incongruent_pinky_thumb,8,41,2,113,78.33,65.86,0.09,1.03,112,1498,Incorrect
incongruent_pinky_thumb,8,42,1,99,14.3,43.58,0.02,0.68,109,1914,Incorrect
incongruent_pinky_thumb,8,43,1,109,79.9,65.09,0.09,1.02,109,5474,Correct
incongruent_pinky_thumb,8,44,2,112,62.01,81.3,0.07,1.28,112,1378,Correct
incongruent_pinky_thumb,8,45,2,112,54.93,64.96,0.06,1.02,112,1135,Correct
incongruent_pinky_thumb,8,46,1,109,41.58,28.26,0.05,0.44,99,2520,Incorrect
incongruent_pinky_thumb,8,47,2,113,49.63,30.38,0.06,0.48,112,1425,Incorrect
incongruent_pinky_thumb,8,48,2,112,38.15,65.24,0.04,1.02,113,3365,Incorrect
incongruent_pinky_thumb,8,49,2,112,39.73,67.55,0.04,1.06,112,1075,Correct
incongruent_pinky_thumb,8,50,2,112,63.95,87.4,0.07,1.37,112,2448,Correct
incongruent_pinky_thumb,8,51,2,113,57.54,39.03,0.06,0.61,112,1061,Incorrect
incongruent_pinky_thumb,8,52,2,113,77.69,46.89,0.09,0.74,113,888,Correct
incongruent_pinky_thumb,8,53,1,99,61.94,80.19,0.07,1.26,109,1048,Incorrect
incongruent_pinky_thumb,8,54,1,109,75.4,60.54,0.08,0.95,99,860,Incorrect
incongruent_pinky_thumb,8,55,2,113,70.35,56.02,0.08,0.88,113,2361,Correct
incongruent_pinky_thumb,8,56,1,109,59.53,28.36,0.07,0.45,109,1777,Correct
incongruent_pinky_thumb,8,57,2,112,53.63,81.22,0.06,1.28,112,3250,Correct
incongruent_pinky_thumb,8,58,1,109,47.65,22.04,0.05,0.35,109,1627,Correct
incongruent_pinky_thumb,8,59,2,112,65.31,82.2,0.07,1.29,112,1635,Correct
incongruent_pinky_thumb,8,60,2,112,47.72,67.83,0.05,1.07,113,1678,Incorrect
incongruent_pinky_thumb,8,61,1,99,14.77,35.56,0.02,0.56,99,1957,Correct
incongruent_pinky_thumb,8,62,2,112,48.24,76.16,0.05,1.2,112,1390,Correct
incongruent_pinky_thumb,8,63,2,113,39.54,17.25,0.04,0.27,113,1172,Correct
incongruent_pinky_thumb,8,64,1,99,34.6,42.89,0.04,0.67,109,2991,Incorrect
incongruent_pinky_thumb,8,65,2,112,64.71,75.18,0.07,1.18,113,999,Incorrect
incongruent_pinky_thumb,8,66,2,112,30.87,40.2,0.03,0.63,112,1897,Correct
incongruent_pinky_thumb,8,67,1,99,54.28,63.39,0.06,1.0,109,1879,Incorrect
incongruent_pinky_thumb,8,68,1,99,23.88,40.45,0.03,0.64,99,1127,Correct
incongruent_pinky_thumb,8,69,2,113,52.75,28.78,0.06,0.45,113,2943,Correct
incongruent_pinky_thumb,8,70,2,113,75.88,46.26,0.08,0.73,112,2059,Incorrect
incongruent_pinky_thumb,8,71,2,113,70.23,58.51,0.08,0.92,113,1127,Correct
incongruent_pinky_thumb,8,72,2,112,48.61,78.79,0.05,1.24,113,1160,Incorrect
incongruent_pinky_thumb,8,73,1,99,19.24,45.89,0.02,0.72,99,1822,Correct
incongruent_pinky_thumb,8,74,2,113,50.29,30.8,0.06,0.48,112,2093,Incorrect
incongruent_pinky_thumb,8,75,2,113,70.46,41.15,0.08,0.65,112,2265,Incorrect
incongruent_pinky_thumb,8,76,1,99,53.95,70.1,0.06,1.1,109,2528,Incorrect
incongruent_pinky_thumb,8,77,1,99,67.7,86.29,0.08,1.36,109,3244,Incorrect
incongruent_pinky_thumb,8,78,2,112,30.33,52.23,0.03,0.82,112,990,Correct
incongruent_pinky_thumb,8,79,1,109,61.23,44.41,0.07,0.7,99,2474,Incorrect
incongruent_pinky_thumb,8,80,2,113,57.8,32.58,0.06,0.51,113,5081,Correct
incongruent_pinky_thumb,8,81,2,112,40.94,57.57,0.05,0.9,112,2072,Correct
incongruent_pinky_thumb,8,82,2,113,68.93,39.52,0.08,0.62,112,1780,Incorrect
incongruent_pinky_thumb,8,83,2,113,43.08,17.76,0.05,0.28,113,1600,Correct
incongruent_pinky_thumb,8,84,2,113,73.55,46.73,0.08,0.73,112,1002,Incorrect
incongruent_pinky_thumb,8,85,1,109,64.68,47.81,0.07,0.75,99,1038,Incorrect
incongruent_pinky_thumb,8,86,2,113,56.87,27.45,0.06,0.43,113,2190,Correct
incongruent_pinky_thumb,8,87,2,112,48.05,65.53,0.05,1.03,112,1124,Correct
incongruent_pinky_thumb,8,88,1,109,37.47,19.62,0.04,0.31,109,1044,Correct
incongruent_pinky_thumb,8,89,1,99,43.1,62.46,0.05,0.98,109,4469,Incorrect
incongruent_pinky_thumb,8,90,1,99,37.18,49.35,0.04,0.78,99,1979,Correct
incongruent_pinky_thumb,8,91,2,113,67.62,56.92,0.08,0.89,113,3337,Correct
incongruent_pinky_thumb,8,92,2,113,58.27,39.51,0.07,0.62,112,1230,Incorrect
incongruent_pinky_thumb,8,93,1,99,39.46,48.47,0.04,0.76,99,1024,Correct
incongruent_pinky_thumb,8,94,1,109,70.14,42.11,0.08,0.66,109,2737,Correct
incongruent_pinky_thumb,8,95,1,109,82.82,60.69,0.09,0.95,109,3919,Correct
incongruent_pinky_thumb,8,96,1,109,52.73,39.87,0.06,0.63,109,1149,Correct
incongruent_pinky_thumb,8,97,1,109,65.86,39.02,0.07,0.61,109,2115,Correct
incongruent_pinky_thumb,8,98,1,109,42.01,29.79,0.05,0.47,99,1756,Incorrect
incongruent_pinky_thumb,8,99,1,99,37.8,63.57,0.04,1.0,99,1370,Correct
incongruent_pinky_thumb,8,100,1,109,44.99,20.35,0.05,0.32,109,1042,Correct
incongruent_pinky_thumb,8,101,1,99,33.86,47.49,0.04,0.75,99,2281,Correct
incongruent_pinky_thumb,8,102,1,109,59.77,48.01,0.07,0.75,99,1765,Incorrect
incongruent_pinky_thumb,8,103,2,113,75.87,49.16,0.08,0.77,113,988,Correct
incongruent_pinky_thumb,8,104,1,109,74.3,43.33,0.08,0.68,109,910,Correct
incongruent_pinky_thumb,8,105,1,109,38.4,26.52,0.04,0.42,109,1244,Correct
incongruent_pinky_thumb,8,106,1,109,52.29,21.22,0.06,0.33,109,729,Correct
incongruent_pinky_thumb,8,107,1,99,46.68,62.79,0.05,0.99,99,931,Correct
incongruent_pinky_thumb,8,108,2,113,44.92,28.91,0.05,0.45,113,2176,Correct
incongruent_pinky_thumb,8,109,1,109,82.15,52.8,0.09,0.83,99,3762,Incorrect
incongruent_pinky_thumb,8,110,1,109,43.21,31.76,0.05,0.5,109,1854,Correct
incongruent_pinky_thumb,8,111,2,112,23.13,49.51,0.03,0.78,112,1893,Correct
incongruent_pinky_thumb,8,112,1,99,36.38,64.54,0.04,1.01,109,2100,Incorrect
incongruent_pinky_thumb,8,113,2,112,52.55,64.52,0.06,1.01,112,1103,Correct
incongruent_pinky_thumb,8,114,2,113,64.64,45.03,0.07,0.71,113,1793,Correct
incongruent_pinky_thumb,8,115,2,112,55.67,76.17,0.06,1.2,113,4661,Incorrect
incongruent_pinky_thumb,8,116,2,112,49.71,73.78,0.06,1.16,112,2171,Correct
incongruent_pinky_thumb,8,117,2,112,39.0,56.91,0.04,0.89,113,1192,Incorrect
incongruent_pinky_thumb,8,118,1,99,52.15,76.67,0.06,1.2,109,2010,Incorrect
incongruent_pinky_thumb,8,119,2,113,59.49,52.1,0.07,0.82,113,5453,Correct
incongruent_pinky_thumb,8,120,2,113,70.89,50.76,0.08,0.8,113,3509,Correct
incongruent_pinky_thumb,8,121,2,113,60.87,42.43,0.07,0.67,113,2400,Correct
incongruent_pinky_thumb,8,122,2,113,47.5,35.99,0.05,0.57,112,1171,Incorrect
incongruent_pinky_thumb,8,123,2,113,45.17,18.63,0.05,0.29,113,857,Correct
incongruent_pinky_thumb,8,124,2,112,30.28,59.95,0.03,0.94,112,1196,Correct
incongruent_pinky_thumb,8,125,2,113,77.19,63.9,0.09,1.0,112,1615,Incorrect
incongruent_pinky_thumb,8,126,2,112,58.55,67.84,0.07,1.07,112,1377,Correct
incongruent_pinky_thumb,8,127,2,112,51.66,77.09,0.06,1.21,112,903,Correct
incongruent_pinky_thumb,8,128,2,113,65.54,44.98,0.07,0.71,113,1156,Correct
incongruent_pinky_thumb,8,129,1,109,70.15,51.97,0.08,0.82,109,992,Correct
incongruent_pinky_thumb,8,130,2,112,49.52,65.45,0.06,1.03,112,1187,Correct
incongruent_pinky_thumb,8,131,2,113,74.05,50.92,0.08,0.8,112,1208,Incorrect
incongruent_pinky_thumb,8,132,1,109,74.57,63.1,0.08,0.99,99,3043,Incorrect
incongruent_pinky_thumb,8,133,1,99,65.34,76.13,0.07,1.2,99,3769,Correct
incongruent_pinky_thumb,8,134,2,113,44.49,21.62,0.05,0.34,113,4102,Correct
incongruent_pinky_thumb,8,135,2,113,52.13,43.46,0.06,0.68,112,1100,Incorrect
incongruent_pinky_thumb,8,136,2,112,23.37,53.4,0.03,0.84,113,1378,Incorrect
incongruent_pinky_thumb,8,137,2,113,63.72,38.76,0.07,0.61,112,1341,Incorrect
incongruent_pinky_thumb,8,138,1,99,11.5,34.02,0.01,0.53,109,1370,Incorrect
incongruent_pinky_thumb,8,139,2,112,46.22,54.04,0.05,0.85,113,642,Incorrect
incongruent_pinky_thumb,8,140,2,112,28.1,39.55,0.03,0.62,113,1354,Incorrect
incongruent_pinky_thumb,8,141,2,112,51.89,81.26,0.06,1.28,112,788,Correct
incongruent_pinky_thumb,8,142,1,99,67.31,79.38,0.08,1.25,99,2735,Correct
incongruent_pinky_thumb,8,143,1,109,32.83,11.54,0.04,0.18,99,2290,Incorrect
incongruent_pinky_thumb,8,144,1,99,56.47,83.39,0.06,1.31,99,2779,Correct
incongruent_pinky_thumb,8,145,1,109,47.4,22.7,0.05,0.36,109,1752,Correct
incongruent_pinky_thumb,8,146,1,99,20.8,46.02,0.02,0.72,109,3837,Incorrect
incongruent_pinky_thumb,8,147,2,112,66.79,84.68,0.07,1.33,112,2720,Correct
incongruent_pinky_thumb,8,148,2,112,29.74,57.38,0.03,0.9,113,3575,Incorrect
incongruent_pinky_thumb,8,149,1,109,79.08,66.27,0.09,1.04,99,930,Incorrect
incongruent_pinky_thumb,8,150,1,99,49.61,57.53,0.06,0.9,109,786,Incorrect
incongruent_pinky_thumb,8,151,2,113,35.7,20.74,0.04,0.33,113,1532,Correct
incongruent_pinky_thumb,8,152,1,99,22.38,48.42,0.03,0.76,99,1183,Correct
incongruent_pinky_thumb,8,153,1,99,43.54,59.86,0.05,0.94,99,2054,Correct
incongruent_pinky_thumb,8,154,1,109,76.48,65.34,0.09,1.03,99,4771,Incorrect
incongruent_pinky_thumb,8,155,1,109,69.15,58.39,0.08,0.92,109,1072,Correct
incongruent_pinky_thumb,8,156,2,113,57.32,42.88,0.06,0.67,113,987,Correct
incongruent_pinky_thumb,8,157,2,112,42.97,58.22,0.05,0.91,112,1000,Correct
incongruent_pinky_thumb,8,158,2,112,57.82,71.65,0.06,1.13,112,1197,Correct
incongruent_pinky_thumb,8,159,1,99,32.73,42.48,0.04,0.67,109,2097,Incorrect
incongruent_pinky_thumb,8,160,2,112,31.46,53.3,0.04,0.84,113,1575,Incorrect
incongruent_pinky_thumb,8,161,2,112,55.11,66.35,0.06,1.04,112,1093,Correct
incongruent_pinky_thumb,8,162,1,99,41.84,69.91,0.05,1.1,99,1534,Correct
incongruent_pinky_thumb,8,163,2,112,46.76,62.14,0.05,0.98,112,2490,Correct
incongruent_pinky_thumb,8,164,1,109,55.14,45.05,0.06,0.71,99,1866,Incorrect
incongruent_pinky_thumb,8,165,1,109,77.72,64.16,0.09,1.01,109,1133,Correct
incongruent_pinky_thumb,8,166,1,109,46.1,37.74,0.05,0.59,99,1481,Incorrect
incongruent_pinky_thumb,8,167,2,112,32.54,56.06,0.04,0.88,112,2498,Correct
incongruent_pinky_thumb,8,168,2,112,60.24,84.72,0.07,1.33,112,1312,Correct
incongruent_pinky_thumb,8,169,2,113,86.37,60.23,0.1,0.95,113,1537,Correct
incongruent_pinky_thumb,8,170,1,99,49.57,79.78,0.06,1.25,99,2001,Correct
incongruent_pinky_thumb,8,171,1,109,50.47,39.03,0.06,0.61,109,1740,Correct
incongruent_pinky_thumb,8,172,1,99,65.42,87.63,0.07,1.38,99,3148,Correct
incongruent_pinky_thumb,8,173,2,113,57.02,46.34,0.06,0.73,112,1622,Incorrect
incongruent_pinky_thumb,8,174,1,109,77.81,55.96,0.09,0.88,99,2720,Incorrect
incongruent_pinky_thumb,8,175,1,99,57.64,72.62,0.06,1.14,109,1819,Incorrect
incongruent_pinky_thumb,8,176,2,113,56.15,27.01,0.06,0.42,113,4929,Correct
incongruent_pinky_thumb,8,177,2,113,56.59,45.57,0.06,0.72,112,2966,Incorrect
incongruent_pinky_thumb,8,178,1,99,60.23,77.88,0.07,1.22,99,4959,Correct
incongruent_pinky_thumb,8,179,1,99,61.71,80.64,0.07,1.27,99,2339,Correct
incongruent_pinky_thumb,8,180,2,112,51.63,71.19,0.06,1.12,112,1078,Correct
incongruent_pinky_thumb,8,181,1,109,63.13,36.07,0.07,0.57,109,2237,Correct
incongruent_pinky_thumb,8,182,1,99,42.3,68.64,0.05,1.08,109,997,Incorrect
incongruent_pinky_thumb,8,183,2,113,66.03,51.95,0.07,0.82,113,2080,Correct
incongruent_pinky_thumb,8,184,1,99,62.53,85.31,0.07,1.34,99,1883,Correct
incongruent_pinky_thumb,8,185,2,113,47.69,24.06,0.05,0.38,112,2073,Incorrect
incongruent_pinky_thumb,8,186,1,109,74.06,48.03,0.08,0.75,109,2720,Correct
incongruent_pinky_thumb,8,187,1,109,63.63,42.38,0.07,0.67,109,1509,Correct
incongruent_pinky_thumb,8,188,2,112,46.47,67.78,0.05,1.06,112,4322,Correct
incongruent_pinky_thumb,8,189,1,99,22.84,34.03,0.03,0.53,109,1816,Incorrect
incongruent_pinky_thumb,8,190,1,99,26.52,41.66,0.03,0.65,99,781,Correct
incongruent_pinky_thumb,8,191,1,109,74.91,43.46,0.08,0.68,109,1154,Correct
incongruent_pinky_thumb,8,192,1,99,36.34,50.72,0.04,0.8,109,2182,Incorrect
incongruent_pinky_thumb,8,193,2,113,57.96,33.82,0.06,0.53,113,3031,Correct
incongruent_pinky_thumb,8,194,2,113,54.96,34.05,0.06,0.53,112,1385,Incorrect
incongruent_pinky_thumb,8,195,2,112,59.68,72.04,0.07,1.13,112,2267,Correct
incongruent_pinky_thumb,8,196,1,99,56.41,79.25,0.06,1.24,99,2337,Correct
incongruent_pinky_thumb,8,197,2,112,67.72,84.84,0.08,1.33,112,1988,Correct
incongruent_pinky_thumb,8,198,1,109,46.24,29.98,0.05,0.47,109,1257,Correct
